2022-04-29 13:45:56.697 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - Started ProductSellDailyDaoTest in 2.51 seconds (JVM running for 3.354)
2022-04-29 13:45:57.010 [schedulerFactory_Worker-1] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 13:46:29.611 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - Starting ProductSellDailyDaoTest using Java 1.8.0_241 on dalluos-mbp with PID 44162 (started by dal in /Users/dalluo/Desktop/IdeaProjects/communityApp)
2022-04-29 13:46:29.613 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - No active profile set, falling back to 1 default profile: "default"
2022-04-29 13:46:31.737 [schedulerFactory_Worker-1] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 13:46:31.738 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - Started ProductSellDailyDaoTest in 2.437 seconds (JVM running for 3.242)
2022-04-29 13:46:59.194 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - Starting ProductSellDailyDaoTest using Java 1.8.0_241 on dalluos-mbp with PID 44169 (started by dal in /Users/dalluo/Desktop/IdeaProjects/communityApp)
2022-04-29 13:46:59.195 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - No active profile set, falling back to 1 default profile: "default"
2022-04-29 13:47:01.430 [schedulerFactory_Worker-1] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 13:47:01.431 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - Started ProductSellDailyDaoTest in 2.512 seconds (JVM running for 3.287)
2022-04-29 13:47:19.083 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - Starting ProductSellDailyDaoTest using Java 1.8.0_241 on dalluos-mbp with PID 44178 (started by dal in /Users/dalluo/Desktop/IdeaProjects/communityApp)
2022-04-29 13:47:19.084 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - No active profile set, falling back to 1 default profile: "default"
2022-04-29 13:47:21.185 [schedulerFactory_Worker-1] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 13:47:21.186 [main] INFO  c.b.communityApp.dao.ProductSellDailyDaoTest - Started ProductSellDailyDaoTest in 2.391 seconds (JVM running for 3.208)
2022-04-29 13:47:40.846 [main] INFO  ca.bytetube.communityApp.CommunityappApplication - Starting CommunityappApplication using Java 1.8.0_241 on dalluos-mbp with PID 44186 (/Users/dalluo/Desktop/IdeaProjects/communityApp/target/classes started by dal in /Users/dalluo/Desktop/IdeaProjects/communityApp)
2022-04-29 13:47:40.849 [main] INFO  ca.bytetube.communityApp.CommunityappApplication - No active profile set, falling back to 1 default profile: "default"
2022-04-29 13:47:42.412 [schedulerFactory_Worker-1] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 13:47:42.413 [main] INFO  ca.bytetube.communityApp.CommunityappApplication - Started CommunityappApplication in 1.827 seconds (JVM running for 2.284)
2022-04-29 13:47:45.005 [schedulerFactory_Worker-2] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 13:47:48.003 [schedulerFactory_Worker-3] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 14:50:20.364 [main] INFO  ca.bytetube.communityApp.CommunityappApplication - Starting CommunityappApplication using Java 1.8.0_241 on dalluos-mbp with PID 44318 (/Users/dalluo/Desktop/IdeaProjects/communityApp/target/classes started by dal in /Users/dalluo/Desktop/IdeaProjects/communityApp)
2022-04-29 14:50:20.367 [main] INFO  ca.bytetube.communityApp.CommunityappApplication - No active profile set, falling back to 1 default profile: "default"
2022-04-29 14:50:22.179 [schedulerFactory_Worker-1] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 14:50:22.180 [main] INFO  ca.bytetube.communityApp.CommunityappApplication - Started CommunityappApplication in 2.119 seconds (JVM running for 2.632)
2022-04-29 14:50:24.007 [schedulerFactory_Worker-2] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 14:50:27.004 [schedulerFactory_Worker-3] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 14:50:30.003 [schedulerFactory_Worker-4] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
2022-04-29 14:50:33.007 [schedulerFactory_Worker-5] INFO  c.b.c.service.impl.ProductSellDailyServiceImpl - Quartz Running!
